t;x;y;z
0.0001;0.155649999999972;0;-4.90649352604851e-08
0.0002;0.155649999999648;0;-1.94830319975236e-07
0.0003;0.155649999998478;0;-4.18355644059649e-07
0.0004;0.155649999995644;0;-7.54304529908136e-07
0.0005;0.155649999990665;0;-1.26986668149287e-06
0.0006;0.155649999982612;0;-1.99622140013555e-06
0.0007;0.155649999968437;0;-2.9301638542371e-06
0.0008;0.155649999943373;0;-4.05178750310748e-06
0.0009;0.155649999901734;0;-5.34784515336048e-06
0.001;0.155649999837751;0;-6.80532360447316e-06
0.0011;0.155649999747447;0;-8.3916214298303e-06
0.0012;0.155649999630317;0;-1.0058956883132e-05
0.0013;0.15564999948884;0;-1.17659478080272e-05
0.0014;0.155649999325823;0;-1.34930553801731e-05
0.0015;0.155649999142388;0;-1.52387275501898e-05
0.0016;0.155649959826862;0;-5.86195132895416e-05
0.0017;0.155649737521292;0;-0.000163016508658555
0.0018;0.155649373870093;0;-0.000272882562163718
0.0019;0.155648910910523;0;-0.000379212786847629
0.002;0.155648413352865;0;-0.000484024437789183
0.0021;0.155647951829749;0;-0.000591540999629775
0.0022;0.155647526343891;0;-0.000697682736676429
0.0023;0.155647165792908;0;-0.000798303720115433
0.0024;0.155646779036917;0;-0.000895361672390079
0.0025;0.155646272205153;0;-0.000992523012102542
0.0026;0.155645609478867;0;-0.00109834632318529
0.0027;0.155644771033368;0;-0.00121361762761345
0.0028;0.155643775109424;0;-0.00132961465002767
0.0029;0.155642598193336;0;-0.00144573261122098
0.003;0.155641164969206;0;-0.00156892667366429
0.0031;0.155639419295161;0;-0.00170235627456428
0.0032;0.155637420692364;0;-0.00183686159769473
0.0033;0.155635395163098;0;-0.00195778706368344
0.0034;0.155633610145602;0;-0.00205650745039128
